CNAME_E,Accident_Count
HEFAIR,1
AL QUSAIS IND. SECOND,178
AL JAFILIYA,398
JABAL ALI SECOND,80
WADI AL SAFA 5,371
MENA JABAL ALI,585
AL KHEERAN FIRST,147
AL MURAQQABAT,414
SAIH AL SALAM,27
AL MAHA,5
AL BARSHA SECOND,328
AL KHABAISI,252
SAIH SHUAIB 2,97
AL QUSAIS SECOND,219
AL TWAR THIRD,236
AL HEBIAH FIFTH,74
MARGAB,25
REMAH,1
AL HEBIAH FIRST,368
AL YALAYIS 4,14
RAS AL KHOR IND. SECOND,444
WADI ALSHABAK,179
WADI AL SAFA 7,154
AL KHWANEEJ SECOND,139
AL SAFA FIRST,230
AL RASHIDIYA,645
AL QOUZ THIRD,217
AL QOUZ FIRST,528
NADD AL SHIBA SECOND,125
JABAL ALI INDUSTRIAL THIRD,180
AL QUSAIS THIRD,212
AL LESAILY,84
AL BARSHA SOUTH FIRST,443
AL ROWAIYAH FIRST,132
AL QUSAIS IND. THIRD,81
MIRDIF,1056
AL SAFA SECOND,171
AL TWAR FIRST,326
AL TWAR SECOND,132
AL CORNICHE,74
MUHAISNAH FIRST,346
LEHBAB FIRST,25
AL QUSAIS IND. FOURTH,96
UMM ESELAY,11
NAIF,182
LEHBAB SECOND,27
MANKHOOL,371
WADI AL SAFA 6,332
AL MERYAL,1
AL ROWAIYAH SECOND,143
AL YALAYIS 2,293
AL QUSAIS IND. FIRST,193
AL SAFOUH SECOND,424
AL YALAYIS 3,34
GRAYTEESAH,56
NAKHLAT DEIRA,25
AL WAJEHA AL BAHRIAH,0
TRADE CENTER SECOND,424
AL YALAYIS 5,63
HOR AL ANZ,449
MUHAISANAH FIFTH,82
NADD HESSA,532
JUMEIRA BAY,18
AL THANYAH SECOND,148
AL THANYAH FIRST,271
SAIH SHUAIB 3,66
AL HEBIAH SECOND,105
UMM SUQEIM SECOND,233
AL WASL,566
AL BARAHA,149
UMM AL MO'MENEEN,59
AL TTAY,43
AL WUHEIDA,208
HATTA,156
UMM SUQEIM THIRD,169
RAS AL KHOR IND. FIRST,187
AL LAYAN 2,0
AL FAGAA,32
AL MAMZAR,279
ABU HAIL,401
MUHAISANAH FOURTH,336
AL QOUZ IND.THIRD,563
SAIH AL DAHAL,14
NADD AL SHIBA FOURTH,241
WADI AL SAFA 2,353
WORLD ISLANDS,0
AL QOUZ SECOND,259
JUMEIRA THIRD,246
MADINAT DUBAI AL MELAHEYAH,217
AL YUFRAH 2,70
AL YUFRAH 4,16
AL HAMRIYA,102
WARSAN THIRD,178
NADD AL SHIBA FIRST,287
AL NAHDA FIRST,251
UMM NAHAD THIRD,38
SAIH SHUAIB 1,124
UMM NAHAD SECOND,37
AL YALAYIS 1,105
UMM NAHAD FOURTH,17
AL WOHOOSH,1
HESSYAN FIRST,76
AL ROWAIYAH THIRD,245
MARSA DUBAI,944
NAKHLAT JUMEIRA,496
AL RAS,68
AL DAGHAYA,30
OUD AL MUTEENA SECOND,40
AL KHWANEEJ FIRST,211
AL SABKHA,12
MADINAT AL MATAAR,431
UMM RAMOOL,440
AL QOUZ IND.FOURTH,449
AL KIFAF,112
AL RIGGA,124
UMM AL SHEIF,193
AL O'SHOOSH,0
AL HATHMAH,0
UMM AL DAMAN,57
RAS AL KHOR IND. THIRD,580
LE HEMAIRA,19
SAIH SHUA'ALAH,0
AL BADA',478
NADD SHAMMA,64
MUGATRAH,25
CORNICHE DEIRA,58
WADI AL SAFA 4,201
AL SHINDAGHA,56
NADD AL SHIBA THIRD,141
AYAL NASIR,49
OUD METHA,217
AL WARQA'A SECOND,177
TRADE CENTER FIRST,405
AL AWIR FIRST,285
GHADEER BARASHY,15
OUD AL MUTEENA FIRST,152
AL LAYAN 1,8
AL MURAR,84
AL WARQA'A THIRD,213
AL QOUZ FOURTH,255
AL MARMOOM,54
AL QOUZ IND.FIRST,479
AL HEBIAH FOURTH,337
JABAL ALI THIRD,92
NADD AL HAMAR,562
AL BARSHA SOUTH SECOND,163
JABAL ALI INDUSTRIAL FIRST,740
WADI ALAMARDI,150
PORT SAEED,595
AL BARSHA FIRST,728
NAZWAH,12
ZAA'BEEL FIRST,314
AL BARSHA THIRD,272
BUSINESS BAY,1456
AL MUTEENA,243
BURJ KHALIFA,959
ME'AISEM FIRST,422
ME'AISEM SECOND,41
AL KARAMA,377
AL WARQA'A FIRST,323
AL MIZHAR FIRST,350
RAS AL KHOR,75
AL HUDAIBA,111
AL YUFRAH 1,70
AL BARSHA SOUTH FIFTH,284
AL SATWA,572
BU KADRA,51
AL MIZHAR SECOND,100
HESSYAN SECOND,60
AL GARHOUD,647
UMM HURAIR SECOND,342
AL HAMRIYA PORT,48
WARSAN SECOND,162
HOR AL ANZ EAST,287
AL WARQA'A FIFTH,56
WARSAN FOURTH,210
MUHAISANAH THIRD,127
DUBAI INVESTMENT PARK SECOND,323
YARAAH,11
SAIH SHUAIB 4,55
DUBAI INVESTMENT PARK FIRST,615
WARSAN FIRST,1037
AL THANYAH THIRD,182
AL THANYAH FIFTH,502
AL MANARA,163
ZAA'BEEL SECOND,679
RIGGAT AL BUTEEN,147
AL QUSAIS IND. FIFTH,235
JABAL ALI INDUSTRIAL SECOND,419
